Using device: cuda
Selected GPU: 1
Number of classes: 1000
Train samples: 12811
Train batches: 101
Total trainable parameters: 5464040
Epoch 175, Loss: 0.7081, Accuracy: 0.8335, Time: 16.54s
Epoch 176, Loss: 0.6606, Accuracy: 0.8466, Time: 16.60s
Epoch 177, Loss: 0.6797, Accuracy: 0.8449, Time: 16.42s
Epoch 178, Loss: 0.6381, Accuracy: 0.8518, Time: 16.50s
Epoch 179, Loss: 0.6492, Accuracy: 0.8534, Time: 16.49s
Epoch 180, Loss: 0.6342, Accuracy: 0.8540, Time: 16.53s
Epoch 181, Loss: 0.6324, Accuracy: 0.8511, Time: 16.48s
Epoch 182, Loss: 0.6141, Accuracy: 0.8573, Time: 16.48s
Epoch 183, Loss: 0.6108, Accuracy: 0.8579, Time: 16.59s
Epoch 184, Loss: 0.6136, Accuracy: 0.8619, Time: 16.49s
Epoch 185, Loss: 0.6823, Accuracy: 0.8424, Time: 16.56s
Epoch 186, Loss: 0.6521, Accuracy: 0.8499, Time: 16.56s
Epoch 187, Loss: 0.6359, Accuracy: 0.8508, Time: 16.54s
Epoch 188, Loss: 0.6171, Accuracy: 0.8583, Time: 16.51s
Epoch 189, Loss: 0.6113, Accuracy: 0.8565, Time: 16.63s
Epoch 190, Loss: 0.5791, Accuracy: 0.8654, Time: 16.60s
Epoch 191, Loss: 0.5946, Accuracy: 0.8632, Time: 16.55s
Epoch 192, Loss: 0.5985, Accuracy: 0.8644, Time: 16.58s
Epoch 193, Loss: 0.6279, Accuracy: 0.8533, Time: 16.62s
Epoch 194, Loss: 0.6292, Accuracy: 0.8560, Time: 16.53s
Epoch 195, Loss: 0.5845, Accuracy: 0.8664, Time: 16.52s
Epoch 196, Loss: 0.5991, Accuracy: 0.8623, Time: 16.50s
Epoch 197, Loss: 0.5915, Accuracy: 0.8684, Time: 16.56s
Epoch 198, Loss: 0.5723, Accuracy: 0.8656, Time: 16.71s
Epoch 199, Loss: 0.5684, Accuracy: 0.8693, Time: 16.59s
Epoch 200, Loss: 0.5752, Accuracy: 0.8650, Time: 16.40s
Epoch 201, Loss: 0.5793, Accuracy: 0.8657, Time: 16.58s
Epoch 202, Loss: 0.5421, Accuracy: 0.8752, Time: 16.60s
Epoch 203, Loss: 0.5537, Accuracy: 0.8766, Time: 16.52s
Epoch 204, Loss: 0.5632, Accuracy: 0.8748, Time: 16.51s
Epoch 205, Loss: 0.5980, Accuracy: 0.8631, Time: 16.50s
Epoch 206, Loss: 0.5940, Accuracy: 0.8605, Time: 16.57s
Epoch 207, Loss: 0.5568, Accuracy: 0.8718, Time: 16.65s
Epoch 208, Loss: 0.5535, Accuracy: 0.8720, Time: 16.60s
Epoch 209, Loss: 0.5642, Accuracy: 0.8724, Time: 16.58s
Epoch 210, Loss: 0.5884, Accuracy: 0.8645, Time: 16.54s
Epoch 211, Loss: 0.5647, Accuracy: 0.8759, Time: 16.47s
Epoch 212, Loss: 0.5740, Accuracy: 0.8685, Time: 16.74s
Epoch 213, Loss: 0.5523, Accuracy: 0.8727, Time: 16.56s
Epoch 214, Loss: 0.5090, Accuracy: 0.8808, Time: 16.52s
Epoch 215, Loss: 0.5241, Accuracy: 0.8771, Time: 16.60s
Epoch 216, Loss: 0.5209, Accuracy: 0.8795, Time: 16.40s
Epoch 217, Loss: 0.5523, Accuracy: 0.8714, Time: 16.60s
Epoch 218, Loss: 0.5606, Accuracy: 0.8692, Time: 16.52s
Epoch 219, Loss: 0.5097, Accuracy: 0.8788, Time: 16.52s
Epoch 220, Loss: 0.5260, Accuracy: 0.8796, Time: 16.54s
Epoch 221, Loss: 0.5165, Accuracy: 0.8791, Time: 16.40s
Epoch 222, Loss: 0.5022, Accuracy: 0.8835, Time: 16.58s
Epoch 223, Loss: 0.5340, Accuracy: 0.8766, Time: 16.60s
Epoch 224, Loss: 0.5297, Accuracy: 0.8750, Time: 16.59s
Epoch 225, Loss: 0.4854, Accuracy: 0.8889, Time: 16.53s
Epoch 226, Loss: 0.5151, Accuracy: 0.8855, Time: 16.61s
Epoch 227, Loss: 0.5373, Accuracy: 0.8828, Time: 16.48s
Epoch 228, Loss: 0.5549, Accuracy: 0.8731, Time: 16.52s
Epoch 229, Loss: 0.5076, Accuracy: 0.8851, Time: 16.55s
Epoch 230, Loss: 0.5195, Accuracy: 0.8798, Time: 16.46s
Epoch 231, Loss: 0.5067, Accuracy: 0.8897, Time: 16.50s
Epoch 232, Loss: 0.5162, Accuracy: 0.8824, Time: 16.62s
Epoch 233, Loss: 0.4990, Accuracy: 0.8831, Time: 16.69s
Epoch 234, Loss: 0.5537, Accuracy: 0.8702, Time: 16.54s
